true_label,pred_label
acinar,11
acinar,11
acinar,11
acinar,11
acinar,11
acinar,11
beta,0
acinar,11
acinar,11
acinar,11
acinar,11
acinar,11
delta,13
delta,13
beta,0
activated_stellate,7
beta,0
acinar,11
ductal,9
beta,4
beta,4
alpha,13
ductal,3
beta,4
delta,4
alpha,13
beta,13
acinar,2
acinar,11
beta,4
delta,13
delta,4
delta,13
delta,13
beta,8
acinar,2
beta,4
beta,0
beta,0
delta,13
activated_stellate,7
beta,4
delta,13
activated_stellate,5
activated_stellate,7
activated_stellate,5
acinar,11
activated_stellate,5
delta,13
beta,4
delta,0
beta,4
acinar,2
beta,4
beta,0
activated_stellate,5
beta,4
beta,0
beta,13
beta,0
ductal,9
alpha,4
beta,0
ductal,9
ductal,8
acinar,11
alpha,13
beta,4
delta,4
alpha,4
beta,0
beta,8
beta,4
delta,13
beta,4
beta,0
delta,13
beta,0
beta,4
beta,13
beta,0
beta,0
beta,4
acinar,11
activated_stellate,7
delta,4
delta,13
beta,4
beta,0
beta,4
beta,4
beta,4
beta,4
beta,0
beta,4
beta,0
beta,0
delta,13
delta,8
beta,4
delta,4
alpha,13
alpha,13
delta,13
beta,4
beta,13
beta,8
beta,4
acinar,2
delta,4
beta,4
beta,4
delta,13
beta,0
beta,0
beta,4
delta,8
beta,0
delta,4
beta,4
beta,4
beta,0
epsilon,13
beta,4
beta,13
beta,0
delta,4
beta,13
delta,13
beta,0
alpha,13
alpha,0
beta,4
acinar,11
alpha,4
beta,0
beta,4
alpha,13
beta,4
delta,4
beta,13
beta,4
beta,4
beta,8
beta,4
delta,13
beta,4
ductal,9
ductal,9
beta,0
beta,0
beta,4
beta,4
delta,13
beta,4
activated_stellate,5
beta,4
beta,0
alpha,4
beta,0
alpha,4
beta,4
gamma,13
beta,13
beta,4
beta,0
beta,0
beta,4
beta,4
beta,0
acinar,11
beta,0
acinar,11
beta,0
beta,13
beta,4
acinar,11
delta,13
beta,4
delta,8
beta,4
acinar,11
alpha,13
beta,4
alpha,13
beta,4
alpha,4
endothelial,12
beta,0
beta,4
alpha,4
delta,13
beta,0
beta,4
delta,13
beta,4
gamma,13
alpha,4
beta,13
beta,13
delta,8
alpha,0
ductal,9
beta,4
alpha,13
beta,4
ductal,9
alpha,4
ductal,9
beta,13
beta,4
alpha,13
beta,4
beta,13
quiescent_stellate,5
ductal,9
ductal,3
endothelial,5
activated_stellate,5
beta,13
delta,13
gamma,0
beta,0
beta,0
beta,4
alpha,13
beta,4
beta,4
delta,13
ductal,9
beta,0
delta,13
delta,4
beta,4
delta,13
beta,0
activated_stellate,5
beta,4
beta,4
delta,13
beta,0
quiescent_stellate,7
beta,13
acinar,11
alpha,4
delta,13
beta,4
alpha,13
beta,4
endothelial,5
delta,13
delta,8
beta,0
beta,8
delta,4
gamma,13
alpha,13
beta,4
beta,4
beta,4
ductal,9
delta,4
alpha,13
beta,13
gamma,0
beta,4
beta,0
beta,4
quiescent_stellate,7
alpha,13
delta,13
alpha,13
endothelial,12
alpha,4
delta,13
beta,4
gamma,4
ductal,9
alpha,13
alpha,0
delta,13
beta,13
beta,13
ductal,9
alpha,8
beta,0
delta,13
macrophage,6
endothelial,5
beta,13
beta,4
beta,0
beta,0
beta,0
beta,4
beta,0
beta,0
beta,4
beta,4
beta,0
gamma,13
endothelial,12
beta,4
beta,4
beta,4
delta,13
beta,0
gamma,13
epsilon,8
delta,13
beta,0
beta,4
gamma,0
beta,0
beta,8
beta,4
beta,4
beta,0
endothelial,7
beta,4
delta,13
alpha,4
epsilon,8
alpha,13
quiescent_stellate,7
alpha,0
alpha,4
beta,4
beta,8
ductal,9
beta,0
alpha,0
beta,4
alpha,0
beta,0
beta,8
delta,0
delta,13
beta,4
beta,0
beta,13
ductal,3
acinar,11
beta,13
alpha,4
beta,4
beta,13
alpha,13
beta,0
quiescent_stellate,5
beta,4
gamma,0
beta,4
gamma,13
endothelial,5
beta,4
alpha,13
schwann,6
beta,4
quiescent_stellate,1
endothelial,7
gamma,13
beta,4
beta,4
alpha,13
alpha,13
gamma,0
beta,8
beta,8
delta,4
acinar,11
acinar,11
gamma,4
ductal,9
ductal,9
endothelial,6
delta,13
beta,8
beta,4
endothelial,5
alpha,4
acinar,11
endothelial,7
endothelial,5
alpha,13
beta,0
beta,0
gamma,13
beta,4
alpha,8
beta,0
beta,0
beta,4
beta,0
beta,0
delta,13
beta,0
quiescent_stellate,12
activated_stellate,7
beta,4
alpha,13
beta,0
gamma,0
quiescent_stellate,7
beta,4
alpha,4
quiescent_stellate,1
endothelial,5
beta,0
ductal,9
endothelial,7
ductal,3
acinar,2
alpha,0
delta,13
beta,0
macrophage,3
ductal,3
endothelial,7
endothelial,7
gamma,0
endothelial,5
endothelial,7
beta,13
beta,13
gamma,0
beta,4
mast,3
beta,0
endothelial,7
gamma,13
quiescent_stellate,7
alpha,4
beta,0
alpha,4
acinar,2
ductal,3
beta,8
beta,0
ductal,3
beta,0
beta,0
ductal,3
acinar,2
endothelial,7
beta,8
beta,0
beta,0
ductal,9
activated_stellate,7
beta,8
quiescent_stellate,7
acinar,2
gamma,0
quiescent_stellate,7
endothelial,7
endothelial,7
alpha,4
quiescent_stellate,5
beta,0
acinar,2
beta,13
endothelial,5
endothelial,7
beta,4
acinar,11
delta,13
beta,13
beta,0
beta,8
beta,0
beta,13
beta,4
beta,4
beta,0
gamma,4
ductal,9
beta,4
gamma,8
beta,8
delta,0
beta,4
beta,4
gamma,13
quiescent_stellate,7
delta,13
beta,4
delta,4
quiescent_stellate,1
delta,8
beta,4
alpha,4
delta,0
alpha,13
quiescent_stellate,7
quiescent_stellate,12
beta,0
endothelial,7
endothelial,7
activated_stellate,7
beta,4
alpha,13
delta,13
beta,4
endothelial,1
alpha,13
quiescent_stellate,1
beta,4
endothelial,7
activated_stellate,1
gamma,4
beta,4
