true_label,pred_label
acinar,5
acinar,5
acinar,5
acinar,5
acinar,5
acinar,5
beta,0
acinar,5
acinar,5
acinar,5
acinar,5
acinar,5
delta,1
delta,1
beta,2
activated_stellate,11
beta,0
acinar,5
ductal,6
beta,0
beta,0
alpha,3
ductal,6
beta,0
delta,1
alpha,3
beta,0
acinar,9
acinar,5
beta,0
delta,1
delta,1
delta,1
delta,1
beta,0
acinar,5
beta,0
beta,0
beta,2
delta,1
activated_stellate,11
beta,0
delta,1
activated_stellate,11
activated_stellate,11
activated_stellate,11
acinar,5
activated_stellate,11
delta,1
beta,0
delta,1
beta,0
acinar,5
beta,0
beta,0
activated_stellate,11
beta,0
beta,0
beta,0
beta,2
ductal,6
alpha,3
beta,2
ductal,6
ductal,9
acinar,5
alpha,3
beta,0
delta,1
alpha,3
beta,2
beta,2
beta,2
delta,1
beta,0
beta,0
delta,1
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
acinar,5
activated_stellate,11
delta,1
delta,1
beta,0
beta,2
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
beta,2
beta,0
delta,1
delta,1
beta,0
delta,1
alpha,3
alpha,3
delta,1
beta,0
beta,0
beta,2
beta,0
acinar,5
delta,1
beta,0
beta,2
delta,1
beta,0
beta,0
beta,0
delta,1
beta,0
delta,1
beta,0
beta,0
beta,0
epsilon,1
beta,0
beta,0
beta,0
delta,3
beta,0
delta,1
beta,0
alpha,3
alpha,3
beta,0
acinar,5
alpha,3
beta,0
beta,0
alpha,3
beta,0
delta,1
beta,2
beta,0
beta,0
beta,0
beta,0
delta,10
beta,2
ductal,6
ductal,6
beta,0
beta,2
beta,0
beta,0
delta,1
beta,0
activated_stellate,11
beta,0
beta,0
alpha,3
beta,0
alpha,3
beta,0
gamma,7
beta,0
beta,0
beta,2
beta,2
beta,0
beta,0
beta,0
acinar,5
beta,2
acinar,5
beta,0
beta,0
beta,0
acinar,5
delta,1
beta,0
delta,1
beta,0
acinar,5
alpha,3
beta,0
alpha,3
beta,0
alpha,3
endothelial,4
beta,2
beta,0
alpha,3
delta,1
beta,0
beta,0
delta,1
beta,0
gamma,7
alpha,3
beta,0
beta,0
delta,1
alpha,3
ductal,6
beta,0
alpha,3
beta,0
ductal,6
alpha,3
ductal,6
beta,0
beta,0
alpha,3
beta,0
beta,0
quiescent_stellate,8
ductal,6
ductal,9
endothelial,8
activated_stellate,11
beta,0
delta,1
gamma,7
beta,0
beta,0
beta,0
alpha,3
beta,0
beta,0
delta,1
ductal,6
beta,0
delta,1
delta,1
beta,0
delta,1
beta,0
activated_stellate,11
beta,0
beta,0
delta,1
beta,0
quiescent_stellate,8
beta,0
acinar,5
alpha,3
delta,1
beta,0
alpha,3
beta,0
endothelial,4
delta,1
delta,10
beta,0
beta,0
delta,1
gamma,7
alpha,3
beta,0
beta,0
beta,0
ductal,6
delta,1
alpha,3
beta,0
gamma,7
beta,0
beta,0
beta,0
quiescent_stellate,8
alpha,3
delta,1
alpha,3
endothelial,4
alpha,3
delta,10
beta,0
gamma,7
ductal,6
alpha,3
alpha,3
delta,1
beta,0
beta,0
ductal,6
alpha,3
beta,0
delta,1
macrophage,12
endothelial,4
beta,0
beta,0
beta,2
beta,2
beta,0
beta,0
beta,0
beta,2
beta,0
beta,0
beta,0
gamma,7
endothelial,4
beta,0
beta,0
beta,2
delta,1
beta,0
gamma,7
epsilon,1
delta,1
beta,0
beta,0
gamma,7
beta,0
beta,1
beta,0
beta,0
beta,0
endothelial,4
beta,0
delta,1
alpha,3
epsilon,1
alpha,3
quiescent_stellate,8
alpha,3
alpha,3
beta,0
beta,0
ductal,9
beta,2
alpha,3
beta,0
alpha,3
beta,0
beta,2
delta,1
delta,1
beta,0
beta,2
beta,10
ductal,9
acinar,5
beta,0
alpha,3
beta,0
beta,10
alpha,3
beta,0
quiescent_stellate,8
beta,0
gamma,7
beta,10
gamma,7
endothelial,4
beta,0
alpha,3
schwann,8
beta,0
