true_label,pred_label
acinar,3
acinar,3
acinar,3
acinar,3
acinar,3
acinar,3
beta,0
acinar,3
acinar,3
acinar,3
acinar,3
acinar,3
delta,0
delta,0
beta,4
activated_stellate,1
beta,0
acinar,3
ductal,3
beta,0
beta,0
alpha,2
ductal,3
beta,0
delta,0
alpha,2
beta,0
acinar,3
acinar,3
beta,0
delta,0
delta,0
delta,0
delta,0
beta,0
acinar,3
beta,0
beta,0
beta,4
delta,0
activated_stellate,1
beta,0
delta,0
activated_stellate,1
activated_stellate,1
activated_stellate,1
acinar,3
activated_stellate,1
delta,0
beta,0
delta,0
beta,0
acinar,3
beta,0
beta,0
activated_stellate,1
beta,0
beta,0
beta,0
beta,4
ductal,3
alpha,2
beta,4
ductal,3
ductal,0
acinar,3
alpha,2
beta,0
delta,0
alpha,2
beta,4
beta,4
beta,0
delta,0
beta,0
beta,0
delta,0
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
acinar,3
activated_stellate,1
delta,0
delta,0
beta,0
beta,4
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
beta,4
beta,0
delta,0
delta,0
beta,0
delta,0
alpha,2
alpha,2
delta,0
beta,0
beta,0
beta,4
beta,0
acinar,3
delta,0
beta,0
beta,0
delta,0
beta,0
beta,0
beta,0
delta,0
beta,0
delta,0
beta,0
beta,0
beta,0
epsilon,0
beta,0
beta,0
beta,0
delta,0
beta,0
delta,0
beta,0
alpha,2
alpha,2
beta,0
acinar,3
alpha,2
beta,0
beta,0
alpha,2
beta,0
delta,0
beta,4
beta,0
beta,0
beta,0
beta,0
delta,0
beta,0
ductal,3
ductal,3
beta,0
beta,4
beta,0
beta,0
delta,0
beta,0
activated_stellate,1
beta,0
beta,0
alpha,2
beta,0
alpha,2
beta,0
gamma,0
beta,0
beta,0
beta,4
beta,4
beta,0
beta,0
beta,0
acinar,3
beta,4
acinar,3
beta,0
beta,0
beta,0
acinar,3
delta,0
beta,0
delta,0
beta,0
acinar,3
alpha,2
beta,0
alpha,2
beta,0
alpha,2
endothelial,0
beta,0
beta,0
alpha,2
delta,0
beta,0
beta,0
delta,0
beta,0
gamma,0
alpha,2
beta,0
beta,0
delta,0
alpha,2
ductal,3
beta,0
alpha,2
beta,0
ductal,3
alpha,2
ductal,3
beta,0
beta,0
alpha,2
beta,0
beta,0
quiescent_stellate,1
ductal,3
ductal,3
endothelial,1
activated_stellate,1
beta,0
delta,0
gamma,0
beta,0
beta,0
beta,0
alpha,2
beta,0
beta,0
delta,0
ductal,3
beta,0
delta,0
delta,0
beta,0
delta,0
beta,0
activated_stellate,1
beta,0
beta,0
delta,0
beta,0
quiescent_stellate,1
beta,0
acinar,3
alpha,2
delta,0
beta,0
alpha,2
beta,0
endothelial,5
delta,0
delta,0
beta,0
beta,0
delta,0
gamma,0
alpha,2
beta,0
beta,0
beta,0
ductal,3
delta,0
alpha,2
beta,0
gamma,0
beta,0
beta,0
beta,0
quiescent_stellate,1
alpha,2
delta,0
alpha,2
endothelial,5
alpha,2
delta,0
beta,0
gamma,0
ductal,3
alpha,2
alpha,2
delta,0
beta,0
beta,0
ductal,3
alpha,2
beta,0
delta,0
macrophage,1
endothelial,1
beta,0
beta,0
beta,0
beta,4
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
gamma,2
endothelial,1
beta,0
beta,0
beta,4
delta,0
beta,0
gamma,0
epsilon,2
delta,0
beta,0
beta,0
gamma,0
beta,0
beta,2
beta,0
beta,0
beta,0
endothelial,5
beta,0
delta,0
alpha,2
epsilon,2
alpha,2
quiescent_stellate,1
alpha,2
alpha,2
beta,0
beta,0
ductal,3
beta,4
alpha,2
beta,0
alpha,2
beta,0
beta,4
delta,0
delta,0
beta,0
beta,4
beta,0
ductal,3
acinar,3
beta,0
alpha,0
beta,0
beta,0
alpha,2
beta,0
quiescent_stellate,1
beta,0
gamma,0
beta,0
gamma,2
endothelial,5
beta,0
alpha,2
schwann,1
beta,0
quiescent_stellate,1
endothelial,5
gamma,0
beta,0
beta,0
alpha,2
alpha,2
gamma,0
beta,0
beta,4
delta,0
acinar,3
acinar,3
gamma,2
ductal,3
ductal,3
endothelial,0
delta,0
beta,0
beta,0
endothelial,5
alpha,2
