true_label,pred_label
acinar,3
acinar,3
acinar,3
acinar,3
acinar,3
acinar,3
beta,9
acinar,3
acinar,3
acinar,3
acinar,3
acinar,3
delta,6
delta,1
beta,9
activated_stellate,8
beta,9
acinar,3
ductal,2
beta,9
beta,9
alpha,1
ductal,2
beta,9
delta,9
alpha,1
beta,9
acinar,3
acinar,3
beta,9
delta,5
delta,5
delta,6
delta,6
beta,6
acinar,3
beta,9
beta,9
beta,6
delta,1
activated_stellate,8
beta,9
delta,6
activated_stellate,8
activated_stellate,8
activated_stellate,8
acinar,3
activated_stellate,8
delta,5
beta,9
delta,5
beta,9
acinar,3
beta,9
beta,9
activated_stellate,8
beta,9
beta,9
beta,6
beta,6
ductal,2
alpha,1
beta,6
ductal,2
ductal,1
acinar,3
alpha,1
beta,9
delta,6
alpha,1
beta,9
beta,6
beta,6
delta,5
beta,9
beta,9
delta,5
beta,9
beta,9
beta,6
beta,9
beta,6
beta,9
acinar,3
activated_stellate,8
delta,6
delta,5
beta,6
beta,9
beta,9
beta,9
beta,9
beta,9
beta,6
beta,9
beta,6
beta,9
delta,5
delta,5
beta,9
delta,6
alpha,1
alpha,1
delta,5
beta,6
beta,9
beta,6
beta,9
acinar,12
delta,6
beta,9
beta,6
delta,6
beta,6
beta,9
beta,6
delta,5
beta,9
delta,6
beta,9
beta,9
beta,9
epsilon,5
beta,9
beta,6
beta,6
delta,1
beta,9
delta,5
beta,6
alpha,1
alpha,1
beta,9
acinar,12
alpha,1
beta,9
beta,9
alpha,1
beta,9
delta,6
beta,6
beta,6
beta,5
beta,6
beta,9
delta,0
beta,9
ductal,2
ductal,2
beta,6
beta,9
beta,9
beta,6
delta,6
beta,9
activated_stellate,8
beta,6
beta,6
alpha,1
beta,6
alpha,1
beta,9
gamma,5
beta,6
beta,5
beta,6
beta,6
beta,6
beta,6
beta,9
acinar,12
beta,6
acinar,12
beta,6
beta,6
beta,6
acinar,12
delta,5
beta,9
delta,5
beta,6
acinar,12
alpha,1
beta,6
alpha,1
beta,6
alpha,1
endothelial,7
beta,6
beta,6
alpha,1
delta,5
beta,5
beta,9
delta,5
beta,9
gamma,5
alpha,1
beta,6
beta,6
delta,5
alpha,1
ductal,4
beta,9
alpha,1
beta,9
ductal,4
alpha,1
ductal,2
beta,6
beta,6
alpha,5
beta,9
beta,6
quiescent_stellate,8
ductal,2
ductal,2
endothelial,8
activated_stellate,7
beta,6
delta,11
gamma,5
beta,9
beta,6
beta,9
alpha,5
beta,6
beta,6
delta,5
ductal,2
beta,6
delta,11
delta,5
beta,6
delta,5
beta,6
activated_stellate,8
beta,6
beta,9
delta,5
beta,6
quiescent_stellate,8
beta,6
acinar,3
alpha,5
delta,5
beta,6
alpha,5
beta,6
endothelial,7
delta,11
delta,0
beta,6
beta,0
delta,11
gamma,5
alpha,5
beta,6
beta,6
beta,6
ductal,2
delta,11
alpha,1
beta,6
gamma,5
beta,6
beta,5
beta,6
quiescent_stellate,7
alpha,1
delta,11
alpha,5
endothelial,7
alpha,5
delta,0
beta,6
gamma,1
ductal,2
alpha,1
alpha,1
delta,5
beta,6
beta,6
ductal,2
alpha,5
beta,5
delta,5
macrophage,7
endothelial,7
beta,6
beta,6
beta,6
beta,6
beta,6
beta,6
beta,6
beta,6
beta,6
beta,6
beta,6
gamma,5
endothelial,7
beta,5
beta,6
beta,6
delta,5
beta,6
gamma,5
epsilon,5
delta,11
beta,6
beta,6
gamma,5
beta,6
beta,0
beta,6
beta,6
beta,6
endothelial,7
beta,6
delta,11
alpha,5
epsilon,11
alpha,1
quiescent_stellate,7
alpha,5
alpha,1
beta,6
beta,6
ductal,4
beta,6
alpha,5
beta,6
alpha,5
beta,5
beta,6
delta,11
delta,11
beta,6
beta,5
beta,0
ductal,4
acinar,12
beta,6
alpha,6
beta,6
beta,11
alpha,5
beta,6
quiescent_stellate,7
beta,6
gamma,11
beta,0
gamma,5
endothelial,7
beta,6
alpha,5
schwann,7
beta,6
quiescent_stellate,7
endothelial,7
gamma,5
beta,5
beta,6
alpha,11
alpha,5
gamma,5
beta,6
beta,6
delta,11
acinar,12
acinar,12
gamma,5
ductal,4
ductal,4
endothelial,11
delta,0
beta,11
beta,0
endothelial,7
alpha,5
