true_label,pred_label
beta,8
beta,8
beta,6
ductal,9
beta,8
beta,8
beta,8
beta,8
delta,6
beta,8
beta,8
beta,8
alpha,6
delta,0
beta,8
beta,8
beta,8
beta,6
beta,8
beta,8
beta,0
beta,6
beta,8
alpha,0
beta,8
beta,0
beta,8
beta,8
beta,6
ductal,3
beta,8
beta,6
delta,0
delta,6
alpha,0
beta,0
alpha,0
beta,8
gamma,6
delta,8
beta,8
delta,0
beta,8
delta,0
delta,8
beta,8
beta,6
alpha,0
beta,8
beta,6
beta,0
beta,0
alpha,0
beta,8
beta,8
alpha,0
beta,8
beta,8
delta,6
delta,6
beta,8
alpha,6
ductal,3
delta,0
beta,8
beta,8
alpha,6
alpha,0
beta,6
alpha,0
alpha,8
alpha,6
beta,8
beta,8
beta,6
alpha,8
beta,8
endothelial,4
beta,8
beta,0
beta,8
delta,6
B_cell,3
alpha,0
alpha,6
ductal,3
beta,8
beta,0
beta,8
beta,8
delta,6
alpha,8
beta,8
beta,8
beta,8
beta,8
delta,0
delta,0
delta,0
delta,0
beta,0
beta,8
beta,8
delta,8
beta,8
beta,0
alpha,0
beta,6
delta,0
gamma,0
beta,8
delta,6
beta,8
beta,6
beta,8
delta,0
beta,6
gamma,6
gamma,0
ductal,9
beta,8
beta,8
beta,8
beta,8
beta,6
beta,8
alpha,6
alpha,0
endothelial,1
beta,6
beta,6
beta,8
beta,8
beta,8
beta,0
beta,6
beta,8
alpha,0
beta,6
beta,6
ductal,9
ductal,3
beta,6
gamma,0
delta,0
gamma,0
beta,0
alpha,0
alpha,8
beta,8
beta,8
ductal,9
alpha,0
beta,8
beta,6
alpha,0
alpha,0
alpha,6
beta,6
beta,6
beta,8
gamma,0
delta,6
beta,6
alpha,6
beta,8
delta,0
beta,8
delta,0
beta,8
alpha,6
beta,6
delta,8
beta,6
alpha,6
beta,8
beta,8
alpha,6
beta,6
beta,8
alpha,6
alpha,0
beta,8
alpha,0
beta,8
alpha,0
alpha,8
beta,6
alpha,0
beta,8
beta,6
beta,6
beta,8
alpha,0
beta,8
alpha,6
beta,8
macrophage,2
alpha,0
beta,8
beta,8
beta,8
delta,0
gamma,6
macrophage,2
gamma,0
beta,6
macrophage,2
alpha,6
alpha,6
beta,8
beta,6
endothelial,4
beta,8
beta,8
delta,6
gamma,6
beta,8
beta,6
immune_other,3
beta,6
