true_label,pred_label
beta,0
beta,0
beta,0
ductal,1
beta,0
beta,0
beta,0
beta,0
delta,6
beta,0
beta,0
beta,0
alpha,2
delta,6
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
beta,3
beta,0
alpha,2
beta,0
beta,0
beta,0
beta,0
beta,0
ductal,1
beta,0
beta,0
delta,6
delta,6
alpha,2
beta,0
alpha,2
beta,0
gamma,5
delta,6
beta,0
delta,6
beta,0
delta,6
delta,6
beta,0
beta,0
alpha,2
beta,0
beta,0
beta,0
beta,0
alpha,2
beta,0
beta,0
alpha,2
beta,4
beta,0
delta,6
delta,6
beta,4
alpha,2
ductal,1
delta,6
beta,0
beta,0
alpha,2
alpha,2
beta,0
alpha,2
alpha,2
alpha,2
beta,0
beta,0
beta,0
alpha,2
beta,0
endothelial,8
beta,4
beta,0
beta,0
delta,6
B_cell,11
alpha,2
alpha,2
ductal,1
beta,0
beta,0
beta,0
beta,0
delta,6
alpha,2
beta,0
beta,4
beta,0
beta,0
delta,6
delta,6
delta,6
delta,6
beta,0
beta,0
beta,0
delta,6
beta,4
beta,0
alpha,2
beta,0
delta,6
gamma,5
beta,0
delta,6
beta,4
beta,0
beta,0
delta,6
beta,4
gamma,5
gamma,5
ductal,1
beta,0
beta,4
beta,4
beta,0
beta,0
beta,0
alpha,2
alpha,2
endothelial,1
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
beta,0
beta,4
alpha,2
beta,4
beta,0
ductal,1
ductal,1
beta,4
gamma,5
delta,6
gamma,5
beta,0
alpha,2
alpha,2
beta,4
beta,0
ductal,1
alpha,2
beta,6
beta,4
alpha,2
alpha,2
alpha,2
beta,3
beta,4
beta,4
gamma,5
delta,6
beta,3
alpha,2
beta,6
delta,6
beta,0
delta,6
beta,4
alpha,2
beta,0
delta,6
beta,0
alpha,2
beta,0
beta,0
alpha,2
beta,4
beta,4
alpha,2
alpha,2
beta,3
alpha,2
beta,0
alpha,2
alpha,2
beta,3
alpha,2
beta,4
beta,4
beta,3
beta,4
alpha,2
beta,0
alpha,2
beta,0
macrophage,9
alpha,2
beta,4
beta,3
beta,0
delta,6
gamma,2
macrophage,9
gamma,5
beta,4
macrophage,9
alpha,2
alpha,2
beta,0
beta,3
endothelial,8
beta,0
beta,0
delta,6
gamma,5
beta,4
beta,3
immune_other,9
beta,3
delta,6
beta,0
delta,6
beta,3
beta,3
beta,4
beta,4
alpha,2
alpha,2
gamma,5
macrophage,9
beta,7
beta,3
alpha,2
delta,6
activated_stellate,1
beta,7
beta,4
endothelial,1
beta,3
beta,0
beta,0
beta,4
beta,0
endothelial,8
alpha,2
alpha,2
alpha,2
beta,7
macrophage,9
macrophage,9
beta,7
beta,4
beta,3
delta,6
beta,3
beta,3
delta,6
beta,0
delta,3
delta,3
endothelial,8
delta,5
beta,3
beta,4
ductal,1
ductal,1
alpha,3
endothelial,8
beta,3
alpha,2
alpha,5
endothelial,8
beta,7
beta,4
beta,3
beta,0
beta,7
B_cell,11
beta,7
quiescent_stellate,10
alpha,2
alpha,2
activated_stellate,1
endothelial,8
beta,7
beta,3
gamma,5
endothelial,8
beta,3
activated_stellate,1
alpha,2
quiescent_stellate,10
beta,7
delta,6
beta,7
endothelial,8
beta,7
beta,7
B_cell,11
activated_stellate,1
macrophage,9
alpha,2
endothelial,8
macrophage,9
beta,7
delta,6
beta,7
delta,6
delta,6
beta,3
beta,7
beta,7
delta,3
beta,7
