true_label,pred_label
beta,1
beta,1
beta,1
ductal,0
beta,1
beta,1
beta,1
beta,1
delta,5
beta,1
beta,1
beta,1
alpha,4
delta,5
beta,1
beta,1
beta,1
beta,1
beta,1
beta,1
beta,1
beta,1
beta,1
alpha,4
beta,1
beta,1
beta,1
beta,1
beta,1
ductal,4
beta,1
beta,1
delta,5
delta,5
alpha,4
beta,1
alpha,4
beta,1
gamma,4
delta,5
beta,1
delta,5
beta,1
delta,5
delta,5
beta,1
beta,1
alpha,4
beta,1
beta,1
beta,1
beta,1
alpha,4
beta,1
beta,1
alpha,4
beta,1
beta,1
delta,5
delta,5
beta,1
alpha,4
ductal,0
delta,5
beta,1
beta,1
alpha,4
alpha,4
beta,1
alpha,4
alpha,4
alpha,4
beta,1
beta,1
beta,1
alpha,4
beta,1
endothelial,6
beta,1
beta,1
beta,1
delta,5
B_cell,0
alpha,4
alpha,4
ductal,0
beta,1
beta,1
beta,1
beta,1
delta,5
alpha,4
beta,1
beta,1
beta,1
beta,1
delta,5
delta,5
delta,5
delta,5
beta,1
beta,1
beta,1
delta,5
beta,1
beta,1
alpha,4
beta,1
delta,5
gamma,4
beta,1
delta,5
beta,1
beta,1
beta,1
delta,5
beta,1
gamma,0
gamma,1
ductal,4
beta,1
beta,1
beta,1
beta,1
beta,1
beta,1
alpha,4
alpha,4
endothelial,3
beta,1
beta,1
beta,1
beta,1
beta,1
beta,1
beta,1
beta,1
alpha,4
beta,1
beta,1
ductal,4
ductal,0
beta,1
gamma,1
delta,5
gamma,4
beta,1
alpha,4
alpha,4
beta,1
beta,1
ductal,0
alpha,4
beta,1
beta,1
alpha,4
alpha,4
alpha,4
beta,1
beta,1
beta,1
gamma,4
delta,5
beta,1
alpha,4
beta,1
delta,5
beta,1
delta,5
beta,1
alpha,4
beta,1
delta,5
beta,1
alpha,4
beta,1
beta,1
alpha,4
beta,1
beta,1
alpha,4
alpha,4
beta,1
alpha,4
beta,1
alpha,4
alpha,4
beta,1
alpha,4
beta,1
beta,1
beta,1
beta,1
alpha,4
beta,1
alpha,4
beta,1
macrophage,0
alpha,4
beta,1
beta,1
beta,1
delta,5
gamma,4
macrophage,0
gamma,4
beta,1
macrophage,0
alpha,4
alpha,4
beta,1
beta,1
endothelial,6
beta,1
beta,1
delta,5
gamma,4
beta,1
beta,1
immune_other,0
beta,1
delta,5
beta,1
delta,5
beta,1
beta,1
beta,1
beta,1
