true_label,pred_label
beta,3
beta,3
beta,3
ductal,5
beta,0
beta,3
beta,3
beta,3
delta,1
beta,2
beta,3
beta,3
alpha,4
delta,1
beta,3
beta,3
beta,3
beta,3
beta,3
beta,3
beta,3
beta,3
beta,0
alpha,4
beta,2
beta,3
beta,3
beta,2
beta,3
ductal,5
beta,3
beta,3
delta,1
delta,1
alpha,4
beta,3
alpha,4
beta,3
gamma,4
delta,1
beta,0
delta,1
beta,3
delta,1
delta,1
beta,2
beta,2
alpha,7
beta,3
beta,2
beta,2
beta,2
alpha,4
beta,2
beta,2
alpha,4
beta,0
beta,3
delta,1
delta,1
beta,6
alpha,4
ductal,5
delta,1
beta,2
beta,3
alpha,4
alpha,4
beta,3
alpha,4
alpha,4
alpha,4
beta,3
beta,3
beta,0
alpha,7
beta,3
endothelial,9
beta,6
beta,2
beta,3
delta,1
B_cell,5
alpha,4
alpha,4
ductal,5
beta,3
beta,3
beta,3
beta,2
delta,1
alpha,7
beta,3
beta,6
beta,2
beta,2
delta,1
delta,1
delta,1
delta,1
beta,2
beta,2
beta,2
delta,1
beta,6
beta,3
alpha,4
beta,3
delta,1
gamma,4
beta,3
delta,1
beta,6
beta,2
beta,0
delta,1
beta,6
gamma,4
gamma,4
ductal,5
beta,3
beta,6
beta,6
beta,2
beta,2
beta,2
alpha,4
alpha,4
endothelial,9
beta,3
beta,3
beta,0
beta,2
beta,2
beta,2
beta,2
beta,6
alpha,7
beta,6
beta,2
ductal,5
ductal,5
beta,0
gamma,4
delta,1
gamma,4
beta,2
alpha,4
alpha,7
beta,0
beta,2
ductal,5
alpha,7
beta,0
beta,6
alpha,4
alpha,4
alpha,7
beta,8
beta,6
beta,6
gamma,4
delta,1
beta,8
alpha,7
beta,2
delta,1
beta,2
delta,1
beta,6
alpha,7
beta,2
delta,1
beta,3
alpha,4
beta,3
beta,2
alpha,4
beta,6
beta,6
alpha,7
alpha,7
beta,8
alpha,4
beta,3
alpha,7
alpha,7
beta,8
alpha,7
beta,6
beta,6
beta,8
beta,6
alpha,4
beta,3
alpha,7
beta,3
macrophage,5
alpha,7
beta,6
beta,6
beta,2
delta,1
gamma,7
macrophage,5
gamma,7
beta,0
macrophage,5
alpha,7
alpha,7
beta,3
beta,8
endothelial,9
beta,2
beta,2
delta,1
gamma,4
beta,6
beta,8
immune_other,5
beta,8
delta,1
beta,0
delta,1
beta,8
beta,8
beta,6
beta,6
alpha,4
alpha,4
gamma,7
macrophage,5
beta,6
beta,8
alpha,7
delta,1
activated_stellate,5
beta,3
beta,6
endothelial,9
beta,8
beta,2
beta,2
beta,6
beta,3
endothelial,9
alpha,7
alpha,7
alpha,7
beta,3
macrophage,5
macrophage,5
beta,0
beta,6
beta,8
delta,1
beta,8
beta,8
delta,1
beta,0
delta,8
delta,8
endothelial,9
delta,7
beta,8
beta,6
ductal,5
ductal,5
alpha,8
endothelial,9
beta,0
alpha,4
alpha,4
endothelial,9
beta,0
beta,6
beta,8
beta,2
beta,0
B_cell,5
beta,0
quiescent_stellate,5
alpha,7
alpha,7
activated_stellate,5
endothelial,9
beta,0
beta,8
gamma,7
endothelial,9
beta,8
activated_stellate,5
alpha,7
quiescent_stellate,5
beta,0
delta,1
beta,0
endothelial,9
beta,0
beta,0
B_cell,5
activated_stellate,5
macrophage,5
alpha,4
endothelial,9
macrophage,5
beta,0
delta,1
beta,0
delta,1
delta,7
beta,0
beta,0
beta,0
delta,8
beta,6
quiescent_stellate,5
B_cell,5
endothelial,9
endothelial,9
beta,3
beta,3
beta,2
delta,1
beta,3
beta,3
ductal,5
beta,3
beta,6
beta,2
beta,3
beta,3
gamma,4
beta,2
alpha,4
beta,0
beta,3
beta,2
beta,3
beta,3
ductal,5
alpha,4
alpha,4
beta,2
alpha,4
delta,1
beta,2
alpha,4
beta,0
delta,1
alpha,7
beta,3
beta,2
alpha,4
