true_label,pred_label
beta,1
beta,1
beta,1
ductal,4
beta,1
beta,1
beta,1
beta,1
delta,1
beta,1
beta,1
beta,1
alpha,1
delta,1
beta,1
beta,1
beta,1
beta,1
beta,1
beta,1
beta,1
beta,1
beta,1
alpha,1
beta,1
beta,1
beta,1
beta,1
beta,1
ductal,4
beta,1
beta,1
delta,1
delta,1
alpha,1
beta,1
alpha,1
beta,1
gamma,1
delta,1
beta,1
delta,1
beta,1
delta,1
delta,1
beta,1
beta,1
alpha,1
beta,1
beta,1
beta,1
beta,1
alpha,1
beta,1
beta,1
alpha,1
beta,1
beta,1
delta,1
delta,1
beta,1
alpha,1
ductal,4
delta,1
beta,1
beta,1
alpha,1
alpha,1
beta,1
alpha,1
alpha,1
alpha,1
beta,1
beta,1
beta,1
alpha,1
beta,1
endothelial,3
beta,1
beta,1
beta,1
delta,1
B_cell,1
alpha,1
alpha,1
ductal,4
beta,1
beta,1
beta,1
beta,1
delta,1
alpha,6
beta,1
beta,1
beta,1
beta,1
delta,1
delta,1
delta,1
delta,1
beta,1
beta,1
beta,1
delta,1
beta,2
beta,1
alpha,1
beta,1
delta,1
gamma,1
beta,1
delta,1
beta,1
beta,1
beta,1
delta,1
beta,2
gamma,1
gamma,1
ductal,4
beta,1
beta,1
beta,1
beta,1
beta,1
beta,1
alpha,1
alpha,1
endothelial,3
beta,1
beta,1
beta,1
beta,1
beta,1
beta,1
beta,1
beta,1
alpha,7
beta,2
beta,1
ductal,4
ductal,4
beta,1
gamma,1
delta,1
gamma,1
beta,1
alpha,1
alpha,6
beta,1
beta,1
ductal,4
alpha,1
beta,1
beta,2
alpha,1
alpha,1
alpha,6
beta,1
beta,1
beta,1
gamma,1
delta,1
beta,1
alpha,6
beta,1
delta,1
beta,1
delta,1
beta,2
alpha,6
beta,1
delta,1
beta,1
alpha,1
beta,1
beta,1
alpha,1
beta,1
beta,1
alpha,6
alpha,6
beta,1
alpha,1
beta,1
alpha,6
alpha,6
beta,1
alpha,1
beta,1
beta,2
beta,1
beta,2
alpha,1
beta,1
alpha,7
beta,1
macrophage,5
alpha,7
beta,1
beta,1
beta,1
delta,1
gamma,6
macrophage,5
gamma,1
beta,1
macrophage,5
alpha,6
alpha,1
beta,1
beta,1
endothelial,3
beta,1
beta,1
delta,1
gamma,1
beta,2
beta,1
immune_other,5
beta,1
delta,1
beta,1
delta,1
beta,1
beta,1
beta,1
beta,1
