true_label,pred_label
beta,5
beta,5
beta,5
ductal,9
beta,6
beta,5
beta,5
beta,6
delta,2
beta,5
beta,6
beta,6
alpha,8
delta,2
beta,5
beta,5
beta,5
beta,5
beta,5
beta,6
beta,6
beta,6
beta,6
alpha,8
beta,6
beta,5
beta,5
beta,6
beta,5
ductal,9
beta,6
beta,6
delta,2
delta,2
alpha,8
beta,6
alpha,8
beta,6
gamma,8
delta,2
beta,6
delta,2
beta,6
delta,2
delta,2
beta,1
beta,6
alpha,8
beta,5
beta,6
beta,1
beta,6
alpha,8
beta,6
beta,6
alpha,8
beta,6
beta,6
delta,2
delta,2
beta,11
alpha,8
ductal,9
delta,2
beta,6
beta,6
alpha,8
alpha,8
beta,1
alpha,8
alpha,8
alpha,8
beta,6
beta,6
beta,6
alpha,8
beta,5
endothelial,7
beta,1
beta,1
beta,6
delta,2
B_cell,7
alpha,8
alpha,8
ductal,7
beta,6
beta,6
beta,6
beta,6
delta,2
alpha,8
beta,1
beta,6
beta,1
beta,1
delta,2
delta,2
delta,2
delta,2
beta,1
beta,1
beta,6
delta,2
beta,11
beta,6
alpha,8
beta,1
delta,2
gamma,8
beta,6
delta,2
beta,6
beta,1
beta,6
delta,2
beta,11
gamma,8
gamma,8
ductal,7
beta,6
beta,11
beta,11
beta,1
beta,1
beta,1
alpha,8
alpha,8
endothelial,7
beta,6
beta,1
beta,6
beta,1
beta,1
beta,1
beta,1
beta,11
alpha,8
beta,11
beta,1
ductal,7
ductal,7
beta,11
gamma,8
delta,2
gamma,8
beta,1
alpha,8
alpha,3
beta,1
beta,1
ductal,7
alpha,3
beta,2
beta,11
alpha,8
alpha,8
alpha,8
beta,4
beta,11
beta,1
gamma,8
delta,2
beta,1
alpha,3
beta,2
delta,2
beta,1
delta,2
beta,11
alpha,3
beta,11
delta,8
beta,1
alpha,8
beta,1
beta,1
alpha,8
beta,11
beta,11
alpha,3
alpha,3
beta,4
alpha,8
beta,1
alpha,3
alpha,3
beta,4
alpha,8
beta,1
beta,11
beta,4
beta,11
alpha,8
beta,1
alpha,3
beta,1
macrophage,0
alpha,3
beta,1
beta,11
beta,1
delta,2
gamma,3
macrophage,0
gamma,3
beta,1
macrophage,0
alpha,3
alpha,3
beta,1
beta,4
endothelial,7
beta,1
beta,1
delta,2
gamma,8
beta,11
beta,4
immune_other,7
beta,4
delta,2
beta,1
delta,10
beta,4
beta,4
beta,11
beta,11
alpha,3
alpha,3
gamma,3
macrophage,0
beta,4
beta,4
alpha,3
delta,3
activated_stellate,0
beta,4
beta,11
endothelial,7
beta,4
beta,1
beta,11
beta,11
beta,1
endothelial,7
alpha,3
alpha,3
alpha,3
beta,11
macrophage,0
macrophage,0
beta,4
beta,11
beta,4
delta,3
beta,4
beta,4
delta,3
beta,4
delta,10
delta,10
endothelial,7
delta,10
beta,4
beta,11
ductal,7
ductal,0
alpha,10
endothelial,0
beta,4
alpha,3
alpha,10
endothelial,0
beta,11
beta,4
beta,4
beta,4
beta,4
B_cell,10
beta,4
quiescent_stellate,0
alpha,10
alpha,10
activated_stellate,0
endothelial,0
beta,4
beta,4
gamma,3
endothelial,0
beta,4
activated_stellate,7
alpha,3
quiescent_stellate,0
beta,4
delta,3
beta,4
endothelial,0
beta,4
beta,4
B_cell,0
activated_stellate,0
macrophage,0
alpha,10
endothelial,0
macrophage,0
beta,4
delta,10
beta,4
delta,10
delta,10
beta,4
beta,4
beta,4
delta,10
beta,4
quiescent_stellate,0
B_cell,0
endothelial,0
endothelial,0
beta,5
beta,5
beta,5
delta,2
beta,5
beta,5
ductal,9
beta,5
beta,5
beta,6
beta,5
beta,5
gamma,8
beta,5
alpha,8
beta,6
beta,5
beta,6
beta,5
beta,5
ductal,9
alpha,8
alpha,8
beta,1
alpha,8
delta,2
beta,6
alpha,8
beta,1
delta,2
alpha,3
beta,5
beta,6
alpha,8
delta,2
alpha,8
beta,6
beta,6
beta,6
gamma,8
gamma,2
beta,6
beta,11
beta,5
beta,6
delta,2
beta,5
alpha,8
beta,6
alpha,8
alpha,8
alpha,8
beta,6
delta,2
delta,2
beta,5
beta,5
beta,6
beta,6
beta,6
beta,6
delta,2
beta,6
beta,6
beta,6
beta,6
alpha,8
delta,2
beta,6
delta,2
beta,6
beta,6
beta,6
beta,5
beta,6
delta,2
beta,1
beta,6
delta,2
schwann,9
delta,2
alpha,8
delta,2
beta,11
delta,2
delta,2
beta,6
delta,2
delta,2
beta,1
alpha,3
beta,6
alpha,8
alpha,3
beta,6
alpha,8
beta,6
gamma,8
beta,6
beta,6
beta,6
delta,2
beta,1
beta,1
beta,6
beta,6
beta,1
ductal,9
beta,1
beta,11
delta,2
alpha,8
alpha,3
beta,6
endothelial,7
alpha,3
delta,2
beta,1
beta,6
beta,1
beta,6
delta,2
beta,6
alpha,8
beta,11
beta,6
beta,1
beta,1
beta,1
alpha,8
gamma,3
beta,1
beta,1
beta,11
alpha,8
beta,6
beta,1
delta,2
beta,1
macrophage,7
beta,1
alpha,8
alpha,3
beta,1
delta,2
beta,6
endothelial,7
endothelial,7
beta,1
alpha,3
beta,1
beta,11
beta,1
beta,1
beta,1
beta,11
beta,4
beta,1
alpha,8
beta,2
beta,6
alpha,3
delta,2
beta,6
delta,2
beta,1
endothelial,7
beta,11
gamma,8
beta,2
delta,2
beta,2
beta,1
delta,2
alpha,3
beta,11
delta,2
beta,1
beta,11
alpha,8
beta,11
beta,2
beta,11
alpha,3
delta,2
endothelial,7
beta,11
ductal,7
beta,1
beta,1
delta,2
alpha,8
beta,4
beta,1
alpha,10
endothelial,7
beta,3
beta,1
endothelial,7
beta,1
beta,1
alpha,3
alpha,3
activated_stellate,7
delta,3
alpha,3
beta,1
ductal,7
beta,4
beta,4
beta,1
endothelial,7
endothelial,7
beta,11
gamma,8
beta,4
quiescent_stellate,7
beta,11
gamma,3
alpha,3
beta,11
delta,2
ductal,7
beta,1
beta,11
alpha,8
beta,11
